,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
144,Pim3,-0.5684979425819996,Pklr,0.4722543913557995,Kif17,-0.30400956666152296,5630401D24Rik,-0.2726884787009446,Thsd4,0.2943909653351431
145,Fam49b,0.5684419057429434,Hmox2,-0.4720960358255666,Cplx1,-0.303199788042595,Ovch2,0.27252376485150903,Dhx15,-0.29420400873029723
146,Gcdh,-0.5681646246761359,Dleu2,-0.4717496979877905,Anxa3,0.30317796628359495,Ccdc94,0.27231042768604335,Fes,0.29403415733833443
147,Ptpn6,0.5675878784162299,Dna2,-0.4716557231939083,Ccdc53,-0.3030208361736911,Spc24,0.27228865410320374,Edn3,0.2937845383012805
148,Sirpa,0.5674609210913115,Paics,-0.47163693757039404,Olfr140,0.30298350771506133,H2-M10.1,0.27223798650208136,Gmfb,-0.29351940798304915
149,Adcy7,0.567454261056909,Uimc1,-0.47137306106709415,Ear2,0.302781682255952,Crygf,-0.27206457236514886,Rab14,-0.29296967413902697
150,Dgcr6,-0.5672145739602512,Zwilch,0.47131304848733785,Pea15,0.30246466669527516,Matn2,-0.2720638752277132,Fzd3,-0.2927618661954843
151,Mogat1,-0.5671945575226752,Atp13a1,-0.471201115965477,Tuba1a,0.3021330877879196,EG432986,0.2719737783053141,3110083C13Rik,0.2927027553059132
152,Desi2,0.567184180821346,Ryk,-0.47090244349805227,Mrps12,0.3018243481682269,Pmf1,0.27196573621854286,Zdhhc20,0.292685765952488
153,Mrps24,-0.5670349358395967,Cdkl2,0.47090020840522556,Mobkl2a,0.30158067506965197,Vax2,0.27181532055410423,Upb1,0.2925524399150423
154,Hsd17b7,0.5668965021077604,Gpx4,0.4707545307849374,Klhl36,-0.3015012006808882,Eraf,0.2710735541169863,Gng2,-0.2922451753183984
155,Hcls1,0.566843634048756,Parva,0.46983656048489725,Ap2b1,-0.300790943037519,Mecp2,-0.2709185995965177,Pdlim3,0.29219208462087237
156,Mafb,0.5668374934794139,Lgals1,0.4697366212232538,Ifitm2,0.3003583801768567,A430005L14Rik,0.27064446938703196,Pex5l,0.29213067977511376
157,Cstb,0.5658189858270922,Sprr1a,0.4695870077694977,Blnk,0.30013420006280944,Slc17a8,-0.27044666029360154,Ctns,0.2919405235830608
158,Lrba,-0.565802343277465,N6amt2,0.46926948171465127,Eif1b,-0.29991316529577783,Olfr412,0.2703524701854021,Gm15609,0.29188827239596904
159,Hdac3,-0.5657434432434392,Gnai1,0.46905070792983244,Plekho2,0.2998573442264415,Ubl4b,0.2701860268433437,Dek,-0.2917757274738045
160,Irs2,-0.5656982262327214,Kif20a,0.46880188585077526,Tpm4,0.29971140891081555,Rnpepl1,-0.26994044501592734,Ankrd2,0.2917497561631713
161,Ddx24,-0.565684598927281,Acnat2,0.46878465831023136,Cd68,0.29958337274149366,Poldip2,0.2698905536184042,Islr,0.2916177292535821
162,Amy1,-0.5655842798101581,Slc1a4,0.46842885336721973,S100a11,0.29951383523739167,E2f6,0.26984079248408593,Lamc2,-0.2914576643834786
163,Echdc2,-0.5650709088557564,C8b,-0.4680227107521536,Ccdc85a,0.29933421580187236,Cbx5,0.2698155969007617,Gusb,0.2908197577392629
164,Ndufa5,-0.5646309350333316,Polr1c,-0.46754139446863724,Cdr2,0.29879543018001126,Scyl2,-0.26931942451008445,Flt3,0.2907660742799225
